min_support,Purity,NMI,F1,Time
0.05,0.8625,0.4986554508363313,0.6922306220967301,0.16684833299999724
0.15,0.725,0.28747287249974485,0.6158628652633448,0.08543491700000061
0.25,0.775,0.34116231748890574,0.6602320185614848,0.057141416000000333
0.35,0.73125,0.32216534947945813,0.6481738326398521,0.031712374999997905
0.45,0.6375,0.12970181519490728,0.43473441108545036,0.01939566699999773
